Explainer,PGF,PGU,RIS,RRS,ROS
grad,,,64536.5546875,92736.71875,94465.2734375
sg,,,2632.14111328125,3150.75390625,11497.8251953125
itg,,,47113.53515625,68418.296875,69518.75
ig,,,179.79846828397203,204.81929288166683,159.8347336586705
random,,,34.8760986328125,20.603483200073242,189.90159606933594
