explainer,RIS,PGF,delta_RIS,delta_PGF
shap,42.40058898925781,0.032199177891016006,0.0,0.0
smooth_shap,42.40058898925781,0.05925889313220978,0.0,0.02705971524119377
lime,26402.599845215853,0.07433421164751053,0.0,0.0
smooth_lime,26402.599845215853,0.07524990290403366,0.0,0.0009156912565231323
