explainer,PGF,PGU,RIS,RRS,ROS
lime,0.08584041148424149,0.09092090278863907,40904.36706263939,46849.03866219965,48866.72074486004
shap,0.04906900227069855,0.10777847468852997,45.508934020996094,57.29000473022461,427.35784912109375
grad,0.08635886013507843,0.09070301800966263,152831.953125,184418.484375,166287.3125
sg,0.08847782015800476,0.08812151849269867,5379.5009765625,6737.90673828125,21628.9140625
itg,0.04679924622178078,0.10704008489847183,125478.71875,150595.171875,134452.953125
ig,0.08737792819738388,0.08907224982976913,147.05628515364603,141.97179495500498,100.10011254234175
random,0.03229794278740883,0.1126512661576271,34.88226318359375,21.50395965576172,210.13308715820312
