explainer,PGF,PGU,RIS,RRS,ROS
lime,0.07433421164751053,0.07630159705877304,26402.599845215853,29154.811251921747,27912.85825992253
shap,0.032199177891016006,0.09438247978687286,42.40058898925781,43.21969223022461,244.8383331298828
grad,0.07428213208913803,0.07668067514896393,256962.078125,285725.125,222760.59375
sg,0.07608465850353241,0.07510969787836075,4905.9296875,4924.64892578125,14016.876953125
itg,0.03599492460489273,0.09262394905090332,230650.078125,255546.078125,196638.359375
ig,0.07594958692789078,0.07519733905792236,101.54920478274319,93.56991493076522,61.95823975284531
random,0.021557064726948738,0.09852588921785355,37.38385009765625,24.65355110168457,287.9515686035156
