Explainer,PGF,PGU,RIS,RRS,ROS
lime,0.12443701922893524,0.06701694428920746,15.977165222167969,12.068553924560547,12.068553924560547
shap,0.06284923106431961,0.13107247650623322,11.445891380310059,13.296989440917969,13.296989440917969
grad,0.12076208740472794,0.06979499757289886,79.6280746459961,63.167911529541016,63.167911529541016
sg,0.12076208740472794,0.06979499757289886,35.9162483215332,17.627460479736328,17.627460479736328
itg,0.06600407510995865,0.1256750524044037,90.6636734008789,72.82197570800781,72.82197570800781
ig,0.12076208740472794,0.06979499757289886,7.140776653462218,3.4732609938976826,3.4732609938976826
random,0.050923217087984085,0.13388638198375702,26.39764976501465,39.897804260253906,39.897804260253906
