explainer,PGF,PGU,RIS,RRS,ROS
lime,0.1558537781238556,0.04148649051785469,508515.0095846854,453420.4209455601,487574.9288337343
shap,0.05647828429937363,0.13280868530273438,258524.03263440952,88302.83640546248,60164.01348563531
grad,0.15721526741981506,0.03357959911227226,128958297276416.0,117056968065024.0,112520618573824.0
sg,0.15701079368591309,0.03325235843658447,88262984.0,38533796.0,35477004.0
itg,0.05559959262609482,0.1353958249092102,135140642652160.0,122429158457344.0,117333548859392.0
ig,0.15657982230186462,0.03433975949883461,12.762827129613877,6.734220174807695,25.318060048379277
random,0.059134628623723984,0.13170745968818665,25.65729522705078,12.883787155151367,62.86171340942383
