sigma,explainer,RIS,PGF,delta_RIS,delta_PGF
0.0,shap,63.72301483154297,0.0674288347363472,0.0,0.0
0.0,smooth_shap,63.72301483154297,0.06660016626119614,0.0,-0.000828668475151062
0.0,lime,25421.733488551603,0.08803969621658325,0.0,0.0
0.0,smooth_lime,25421.733488551603,0.08795279264450073,0.0,-8.690357208251953e-05
0.1,shap,44.94478225708008,0.06521452218294144,0.0,0.0
0.1,smooth_shap,44.94478225708008,0.07100441306829453,0.0,0.005789890885353088
0.1,lime,31296.78482823864,0.08903111517429352,0.0,0.0
0.1,smooth_lime,31296.78482823864,0.0900893285870552,0.0,0.0010582134127616882
0.3,shap,45.508934020996094,0.04906900227069855,0.0,0.0
0.3,smooth_shap,45.508934020996094,0.07011062651872635,0.0,0.0210416242480278
0.3,lime,40904.36706263939,0.08584041148424149,0.0,0.0
0.3,smooth_lime,40904.36706263939,0.08805106580257416,0.0,0.002210654318332672
0.5,shap,42.40058898925781,0.032199177891016006,0.0,0.0
0.5,smooth_shap,42.40058898925781,0.05925889313220978,0.0,0.02705971524119377
0.5,lime,26402.599845215853,0.07433421164751053,0.0,0.0
0.5,smooth_lime,26402.599845215853,0.07524990290403366,0.0,0.0009156912565231323
