Explainer,PGF,PGU,RIS,RRS,ROS
lime,0.08146589994430542,0.08909773826599121,18062.267578125,38500.9140625,53954.5546875
shap,0.05516570433974266,0.10421647131443024,57.851844787597656,56.7130126953125,478.97528076171875
grad,0.0807727798819542,0.0909700021147728,46838.36328125,64286.3515625,64530.16015625
sg,0.08158816397190094,0.08958858251571655,1942.4825439453125,1932.1025390625,5499.0869140625
itg,0.05022682249546051,0.10502386838197708,33837.578125,46184.67578125,45841.765625
ig,0.08009153604507446,0.09040402621030807,137.52340076629656,156.5891967272181,124.60793373733429
random,0.025263888761401176,0.11091746389865875,35.32313537597656,20.573991775512695,168.50027465820312
