explainer,PGF,PGU,RIS,RRS,ROS
lime,0.08662828803062439,0.09725330024957657,25421.733488551603,40764.18340589752,50033.208522849076
shap,0.0676487386226654,0.10842020809650421,63.72301483154297,65.46643829345703,383.9429626464844
grad,0.08559447526931763,0.0990116149187088,64536.5546875,92736.71875,94465.2734375
sg,0.08807342499494553,0.09658308327198029,2632.14111328125,3150.75390625,11497.8251953125
itg,0.06474696099758148,0.10971412807703018,47113.53515625,68418.296875,69518.75
ig,0.08605030179023743,0.09814248234033585,179.79846828397203,204.81929288166683,159.8347336586705
random,0.0317886546254158,0.12023389339447021,34.8760986328125,20.603483200073242,189.90159606933594
