explainer,PGF,PGU,RIS,RRS,ROS
lime,0.20346786081790924,0.056472886353731155,840055.7016971901,801246.8582948652,884352.0263938814
shap,0.08691439032554626,0.16662979125976562,117624.38382284468,40462.994732511164,27184.236042203946
grad,0.2059449553489685,0.047019582241773605,19659735040.0,13075209216.0,12748188672.0
sg,0.20495103299617767,0.046494413167238235,3004733.75,1025943.6875,903756.5625
itg,0.08943329006433487,0.16895876824855804,24804861952.0,16649994240.0,16238636032.0
ig,0.20566876232624054,0.04532753676176071,13.48887660256631,6.37577686017146,14.309295080463107
random,0.06973429024219513,0.17755183577537537,25.0203800201416,10.074583053588867,48.325008392333984
