explainer,PGF,PGU,RIS,RRS,ROS
lime,0.08903111517429352,0.09685797244310379,31296.78482823864,43463.45597378045,49628.17096554968
shap,0.06521452218294144,0.10892567783594131,44.94478225708008,55.23503875732422,316.34613037109375
grad,0.08842305839061737,0.09745454788208008,98767.0234375,126368.703125,122171.453125
sg,0.0901571661233902,0.09601043909788132,2663.4951171875,3253.720947265625,10691.458984375
itg,0.06434617191553116,0.10885258764028549,74883.328125,95127.0703125,91426.1015625
ig,0.088707335293293,0.09668537229299545,180.06575842019598,197.9070570535873,149.0600987107589
random,0.029177891090512276,0.12119186669588089,34.777103424072266,20.382896423339844,186.93646240234375
